"loc","quality","auc"
2,1,0.797484984984985
2,2,0.812099466872852
2,3,0.809824750123258
2,4,0.820379600586278
2,5,0.806772354331804
3,1,0.727600228310502
3,2,0.71317527593819
3,3,0.715606049069374
3,4,0.710388154560811
3,5,0.770678625064733
4,1,0.838672413793103
4,2,0.808888235294118
4,3,0.807096583850932
4,4,0.821068944099379
4,5,0.833322279792746
5,1,0.798909210526316
5,2,0.712461857142857
5,3,0.701624109589041
5,4,0.705097162162162
5,5,0.707692634854772
6,1,0.841503870967742
6,2,0.89363247652002
6,3,0.885593961352657
6,4,0.886933349374398
6,5,0.889219142220572
7,1,0.787438541666667
7,2,0.696138474295191
7,3,0.689437758346582
7,4,0.691385317460318
7,5,0.778496897810219
8,1,0.8304390625
8,2,0.751750340136054
8,3,0.75015325732899
8,4,0.751578013029316
8,5,0.773304388297872
9,1,0.729943511450382
9,2,0.7663572971549
9,3,0.761627270381837
9,4,0.759870541237113
9,5,0.775621183277342
10,1,0.876982608695652
10,2,0.846400588235294
10,3,0.849286021505376
10,4,0.832128494623656
10,5,0.845552803738318
11,1,0.728860843373494
11,2,0.720926160990712
11,3,0.710617371601208
11,4,0.712981825037707
11,5,0.735882632211538
12,1,0.829642
12,2,0.734998235294118
12,3,0.741130038022814
12,4,0.74343127340824
12,5,0.748357282913165
13,1,0.89986
13,2,0.914464622641509
13,3,0.906265044247788
13,4,0.907459734513274
13,5,0.911938686131387
14,1,0.767864516129032
14,2,0.719720465116279
14,3,0.712080885650224
14,4,0.715639482378855
14,5,0.730404545454545
